"Cluster","Gene","L0_Rsquare","L0_RMSE"
"Cluster1","B2M",0.700021847093685,6.96856411226108
"Cluster1","CCL22",0.732720031068908,0.0163085982021623
"Cluster1","CCL28",0.462977501358904,0.0297206764296512
"Cluster1","CCR6",0.985060915530957,0.00347115936818706
"Cluster1","CD1C",0.621149739642205,0.0191977189736914
"Cluster1","CD2",0.269552693379434,0.0367883274731552
"Cluster1","CD40",0.373939626655824,0.0493574932404351
"Cluster1","CXCL17",0.174897533433745,0.764251607084542
"Cluster1","CXCR5",0.945985403463366,0.00727526775432457
"Cluster1","EZH2",0.48103450255379,0.0286553010457486
"Cluster1","HSP90B1",0.410622140059907,0.797912189763432
"Cluster1","KLRK1",0.722572036949048,0.01639026128368
"Cluster1","LAG3",0.629014075355086,0.0211066983191814
"Cluster1","NT5E",0.073184902922331,0.0911265740393252
"Cluster1","RAET1G",0.900594775181197,0.00924923597735892
"Cluster1","TAP1",0.738765212366294,0.156123017390932
"Cluster2","B2M",0.726147659792701,8.17641734141674
"Cluster2","CCL20",0.217470653422423,0.374268495210392
"Cluster2","CCL22",0.418957259149852,0.0340931618950198
"Cluster2","CCL28",0.525321788175428,0.0208295642585466
"Cluster2","CCR6",0.987524707668783,0.00319750714318467
"Cluster2","CD1C",0.795260611771343,0.0137401394965674
"Cluster2","CD2",0.28336369954849,0.0385719156078228
"Cluster2","CD40",0.20681288955286,0.0529421814198125
"Cluster2","CXCL17",0.0984935888473,0.695330131203557
"Cluster2","CXCR5",0.937577553085808,0.00753912977601193
"Cluster2","EZH2",0.507863124522791,0.0244763608438315
"Cluster2","HSP90B1",0.26727534252011,1.07319222196924
"Cluster2","KLRK1",0.741747100574777,0.017840767375319
"Cluster2","LAG3",0.704225569595944,0.018207414137052
"Cluster2","NT5E",0.0813910553350438,0.100732243807811
"Cluster2","RAET1G",0.820409509842248,0.0126431740975205
"Cluster2","TAP1",0.768762190860911,0.176455103335346
"Cluster3","B2M",0.64806535727219,8.7283261537106
"Cluster3","CCL22",0.76684657947753,0.0121314094236526
"Cluster3","CCL28",0.519149553354978,0.0240687838423423
"Cluster3","CCR6",0.963547064582496,0.00441347392290028
"Cluster3","CD1C",0.57083917394439,0.0182349310135358
"Cluster3","CD2",0.133047361221163,0.0365485545115697
"Cluster3","CD40",0.264111080401639,0.049091324969101
"Cluster3","CXCL17",0.103670385684312,0.53776526364454
"Cluster3","CXCR5",0.858821234298575,0.0101680900128518
"Cluster3","EZH2",0.435931531514147,0.0241422772976041
"Cluster3","HSP90B1",0.426882847806002,0.682669009153485
"Cluster3","KLRK1",0.67699266919928,0.0172466507002359
"Cluster3","LAG3",0.677311046110706,0.0152699647622274
"Cluster3","NT5E",0.0597548833975898,0.0785172976210469
"Cluster3","RAET1G",0.839007140847526,0.00963818117459037
"Cluster3","TAP1",0.711840525597085,0.160083953107463
"Cluster4","B2M",0.699397908588291,8.40160278933861
"Cluster4","CCL20",0.227508213284349,0.289189609896898
"Cluster4","CCL22",0.294947501310702,0.0389415753628161
"Cluster4","CCL28",0.485097948869147,0.0207383075824987
"Cluster4","CCR6",0.986126319814091,0.00307214241681948
"Cluster4","CD1C",0.865222759853033,0.00992147118118711
"Cluster4","CD2",0.283113375773532,0.0261211579747019
"Cluster4","CD40",0.290551946647322,0.0417458629197256
"Cluster4","CXCL17",0.162300409757059,1.05574990315616
"Cluster4","CXCR5",0.979457794780604,0.00401206276075242
"Cluster4","EZH2",0.735535026713276,0.0146666688132141
"Cluster4","HSP90B1",0.363863378524629,1.03916376361332
"Cluster4","KLRK1",0.845311181763799,0.010400862095803
"Cluster4","LAG3",0.739974288956114,0.0148425500024431
"Cluster4","RAET1G",0.816148284233509,0.0113176755788812
"Cluster4","TAP1",0.623959863622392,0.161322922392745
